topic,question,answer
Returns & Refunds,What’s your return policy for opened items?,You can return products within 14 days as long as they're in original condition.
Wholesale Inquiries,Do you sell wholesale to schools?,"Yes, we offer discounted pricing for schools and resellers."
Installation Services,Can someone come install this at my home?,"Yes, we can install HP Envy Laptop at your location within 48 hours of purchase."
Wholesale Inquiries,I want to become a reseller. How can I register?,"Yes, we offer discounted pricing for schools and resellers."
Technical Specifications,Does MacBook Air support dual monitors?,"The MacBook Air supports dual monitors"
Technical Specifications,Does Dell OptiPlex support dual monitors?,The Dell OptiPlex comes with a high-resolution Retina display and M2 chip.
Installation Services,Do you offer installation for HP Envy Laptop?,"Yes, we can install HP Envy Laptop at your location within 48 hours of purchase."
Managed IT Services,Can I outsource my IT support to you?,"Yes, our managed IT package includes network setup, monitoring, and maintenance."
Warranty & Repairs,What’s the warranty on HP Envy Laptop?,Repairs typically take 3–5 business days depending on part availability.
Technical Specifications,"Does Samsung 32"" Monitor support dual monitors?","Yes, the Samsung 32"" Monitor supports dual monitor output via HDMI and USB-C."
Managed IT Services,Do you manage IT systems for small businesses?,We provide 24/7 remote monitoring and support for managed IT clients.
Warranty & Repairs,What’s the warranty on Logitech MX Mouse?,Repairs typically take 3–5 business days depending on part availability.
Wholesale Inquiries,I want to become a reseller. How can I register?,Please contact our wholesale team at wholesale@example.co.nz for pricing.
Wholesale Inquiries,Do you offer bulk pricing?,Please contact our wholesale team at wholesale@example.co.nz for pricing.
Warranty & Repairs,What’s the warranty on Dell OptiPlex?,The Dell OptiPlex includes a 1-year manufacturer’s warranty.
Warranty & Repairs,How long do repairs take?,Repairs typically take 3–5 business days depending on part availability.
Technical Specifications,Does Dell OptiPlex support dual monitors?,"Yes, the Dell OptiPlex supports dual monitor output via HDMI and USB-C."
Returns & Refunds,Can I return a product if I don't like it?,"Opened items can be returned if faulty, but may be subject to restocking fees."
Returns & Refunds,How do I request a refund?,You can return products within 14 days as long as they're in original condition.
Warranty & Repairs,Can you repair my MacBook Air?,"Yes, we can repair your MacBook Air. Please bring it to the nearest service center."
Managed IT Services,Can I outsource my IT support to you?,"Yes, our managed IT package includes network setup, monitoring, and maintenance."
Warranty & Repairs,"What’s the warranty on Samsung 32"" Monitor?","The Samsung 32"" Monitor includes a 1-year manufacturer’s warranty."
Warranty & Repairs,Can you repair my Logitech MX Mouse?,The Logitech MX Mouse includes a 1-year manufacturer’s warranty.
